"URDU MADYAMIK VIDYALAYA, BARAMATI",18.1508919,74.5756767
NEW ENGLISH SCHOOL MEKHALI,18.1841352,74.6107628
ZPPS BURUNGALEWASTI,18.0740203,74.5602423
WAJHESHVARI V.NIRAWAGAJ,18.1841352,74.6107628
ZPPS GHADGEWADI,18.1841352,74.6107628
ZPPS NIRAWAGAJ,18.1841352,74.6107628
ZPPS PATLU RASALWADI,18.2470945,74.4317374
VASANTRAO PAWAR VID DEULGAON RASAL,18.2869987,74.4584245
ZPPS DANDWADI,18.3533066,74.4232507
VASTIGRUH VIDYALAY KARHATI,18.2548120,74.4301431
S.ENGLISH M S.DEVDATNAGAR,18.1573263,74.5612729
BRILLIANT ENGLISH MED SCHOOL KARHAWAGAJ,18.1573263,74.5612729
ZPPS ANJANGAON,18.1573263,74.5612729
GURUKUL ENGLISH MED SCHOOL JALGAON SUPE,18.2361067,74.4620880
ZPPS SHRIRAMNAGAR,18.1629574,74.5942903
"SANT TUKARAM MAHARAJ PRATHMIK VIDYALAYA, DORLEWADI",18.0889113,74.5981870
ZPPS UNDAWADI K P,18.5362084,73.8939748
DNYANSAGAR ENG. MED. SCHOOL SAWAL,18.1243426,74.6605331
ZPPS THITE DEWAKATEWASTI,18.0751999,74.6546816
SHRI SIDDHESHWAR JUNIOR COLLEGE KORHALE BK,18.1262481,74.3941003
ZPPS KATEWADI,18.1302466,74.6576091
ZPPS SAWANTWASTI,18.1046518,74.4060331
ANTARAOW PAWAR M.V.PALSHI,18.1986791,74.3323529
ZPPS BARVKAR VASTI,18.2340468,74.3763415
ZPPS ANATNAGAR,18.2084194,73.9047849
ZPPS NIGADE KE BA,18.2084194,73.9047849
ZPPS KASURDI GUN MA,18.2084194,73.9047849
APPASAHEB BANDAL VIDYALAYA ALANDE,18.1926134,73.9046447
ZPPS MHASKE-KINDRE VASTI,18.0559075,73.8508695
ZPPS VARODI KHU,18.0473837,73.8521981
ZPPS SALVIWADI,18.0473837,73.8521981
ZPPS JEDHEWADI,18.1458199,73.8429847
ZPPS MALVADI VADTUMBI,18.0487145,73.7669075
ZPPS APTIWADI,18.1190715,73.7492567
ZPPS NANDGAON GAVTHAN,18.1458199,73.8429847
ZPPS KARANJGAON,18.6116681,74.0190902
BARE BASRAPUR MADHAYMIK VID.,18.1458199,73.8429847
V.P`S BHOR ENGLISH MEDIUM SCHOOL BHOLAWADE,18.1607541,73.8493735
ZPPS PASURE,18.1458199,73.8429847
ZPPS BARE BK.,18.1458199,73.8429847
ZPPS KUMBALE,18.1970147,73.6326486
ZPPS CHANDAVANE,18.2129919,73.6510455
ZPPS GUHINI,18.1458199,73.8429847
ZPPS DHAMANDEV,18.1458199,73.8429847
ZPPS KUDALI BU,18.1156222,73.6708198
ZPPS JAMBHALI,18.1458199,73.8429847
ZPPS DIVALE,18.2475850,73.8890070
ZPPS DEGAON,18.2489052,73.8874799
ZPPS HARISHCHANDRI,18.2475850,73.8890070
ZPPS KAMTHADI,18.2489052,73.8874799
ZPPS KHADKI,18.5699361,73.8506427
RAYRESHWAR VID. TITEGHAR,18.0334840,73.7694815
KRANTIVIR V BALVANT PHADKE,18.1458199,73.8429847
DNYANDEEP ENG MED SCHOOL,18.4717965,73.8670914
SANSKAR GURUKUL SCHOOL,18.4760490,73.8155960
PMC SCHOOL NO. 163 B,18.4717965,73.8670914
AJINKYA DEDGE PUBLIC SCHOOL,18.4717965,73.8670914
SINHGAD SPRING DALE PUBLIC SCH,18.4721040,73.8670810
DNYANSADHNA ENG MED,18.4717968,73.8265435
VISHWAKARMA MADHYAMIK MARATHI,18.4742821,73.8660391
DYANESH PRATHAMIK,18.4974018,73.8471097
ABHINAV LOTUS ENG SCHOOL,18.4648188,73.8483773
WAMAN OTURKAR MAD VID,18.4648188,73.8483773
BHARATI ENG,18.4574261,73.8496819
NATIONAL ENGLISH MEDIUM SCHOOL,18.4723000,73.8672430
PRIYADARSHINI SEC SCH,18.4648188,73.8483773
PMC SCHOOL VINI 19,18.4717965,73.8670914
PMC SCHOOL NO. 138 B,18.4692889,73.8596193
PMC SCHOOL NO. 1 G,18.4717965,73.8670914
PMC SCHOOL NO. 64 B,18.4686896,73.8598607
MUKTANGAN ENGLISH PRIMARY SCHOOL,18.5051680,73.8748910
VIDYA VIKAS VIDYALAYA,18.4829019,73.8515089
VIDYA VIKAS VIDYA PRASHALA,18.4865807,73.8501103
MUNOT PRIMARY,18.4498182,73.8748061
ROSELAND JR. COLLEGE,18.4495826,73.8676318
RAMBHAU MHALGI PRIMARY,18.4575325,73.8677464
HIRAMAN BANKAR JR. COLLEGE,18.4713533,73.8656123
VASANTRAO VAIDYA SECONDR,18.4987235,73.8580968
PMC SCHOOL NO. 168 B,20.8484773,74.5580454
DYANGANGA PRIMARY,18.4777968,73.8213213
S S AGRAWAL PRI SCHOOL,18.4992678,73.8581717
PRAGATI VIDYALAYA,18.4759241,73.8270893
PMC SCHOOL NO. 80 B ENGLISH,18.5102160,73.8467105
HAMAL PANCHAYAT KASHTAKRI VID,18.4717965,73.8670914
PMC SCHOOL NO. 67 B,18.5124890,73.8611812
DES SECONDARY SCHOOL,18.4987235,73.8580968
NEMS PRIMARY SCHOOL,18.5179192,73.8493785
ASHOK VIDYALAYA,18.5113730,73.8454040
DNYAN PRASARAK VIDYA MANDIR MADHYAMIK,18.4717965,73.8670914
ZPPS SHINGATEWADI,18.4592892,74.5873348
BHAIRAVNATH .M.VIDYALAY VAYARLES PHATA,18.4578779,74.5317012
ZPPS BIROBANAGAR,18.4592892,74.5873348
MERI MEMORIAL PRI SCHOOL,18.4592892,74.5873348
ZPPS DAPODI,18.5129229,74.3997976
ZPPS PEDGAON,18.5109586,74.7059059
SHIDDHESHWAR MAD VID. DEULGAONRAJE,18.4534420,74.6803580
ZPPS DEULGAON RAJE,18.4592892,74.5873348
